Rank,City,Population,State or union territory
1,Mumbai,"124.42",Maharashtra
2,Delhi,"110.34",Delhi
3,Bangalore,"84.43",Karnataka
4,Hyderabad,"67.31",Telangana
5,Ahmedabad,"55.77",Gujarat
6,Chennai,"46.46",Tamil Nadu
7,Kolkata ,"44.96",West Bengal
8,Surat,"44.67",Gujarat
9,Pune,"31.24",Maharashtra
10,Jaipur,"30.46",Rajasthan
11,Lucknow,"28.17",Uttar Pradesh
12,Kanpur,"27.65",Uttar Pradesh
13,Nagpur,"24.05",Maharashtra
14,Indore,"19.64",Madhya Pradesh
15,Thane,"18.41",Maharashtra
16,Bhopal,"17.98",Madhya Pradesh
17,Visakhapatnam,"17.28",Andhra Pradesh
18,Pimpri-Chinchwad,"17.27",Maharashtra
19,Patna,"16.84",Bihar
20,Vadodara,"16.70",Gujarat
21,Ghaziabad,"16.48=",Uttar Pradesh
22,Ludhiana,"16.18",Punjab
23,Agra,"15.85",Uttar Pradesh
24,Nashik,"14.86",Maharashtra
25,Faridabad,"14.14",Haryana
26,Meerut,"13.05",Uttar Pradesh
27,Rajkot,"12.86",Gujarat
28,Kalyan-Dombivali,"12.47",Maharashtra
29,Vasai-Virar,"12.22",Maharashtra
30,Varanasi,"11.98",Uttar Pradesh
31,Srinagar,"11.80",Jammu and Kashmir
32,Aurangabad,"11.75",Maharashtra
33,Dhanbad,"11.62",Jharkhand
34,Amritsar,"11.32",Punjab
35,Navi Mumbai,"11.20",Maharashtra
36,Allahabad,"11.12",Uttar Pradesh
37,Howrah,"10.77",West Bengal
38,Ranchi,"10.73",Jharkhand
39,Gwalior,"10.69",Madhya Pradesh
40,Jabalpur,"10.55",Madhya Pradesh
41,Coimbatore,"10.50",Tamil Nadu
42,Vijayawada,"10.34",Andhra Pradesh
43,Jodhpur,"10.33",Rajasthan
44,Madurai,"10.17",Tamil Nadu
45,Raipur,"10.10",Chhattisgarh
46,Kota,"10.01",Rajasthan
47,Chandigarh,"9.61",Chandigarh
48,Guwahati,"9.57",Assam
49,Solapur,"9.51",Maharashtra
50,Hubballi-Dharwad,"9.43",Karnataka
51,Tiruchirappalli,"9.16",Tamil Nadu
52,Bareilly,"8.98",Uttar Pradesh
53,Mysore,"8.87",Karnataka
54,Tiruppur,"8.77",Tamil Nadu
55,Gurgaon,"8.76",Haryana
56,Aligarh,"8.72",Uttar Pradesh
57,Jalandhar,"8.62",Punjab
58,Bhubaneswar,"8.37",Odisha
59,Salem,"8.31",Tamil Nadu
60,Mira-Bhayandar,"8.14",Maharashtra
61,Warangal,"8.11",Telangana
62,Thiruvananthapuram,"7.52",Kerala
63,Guntur,"7.43",Andhra Pradesh
64,Bhiwandi,"7.11",Maharashtra
65,Saharanpur,"7.03",Uttar Pradesh
66,Gorakhpur,"6.71",Uttar Pradesh
67,Bikaner,"6.47",Rajasthan
68,Amravati,"6.46",Maharashtra
69,Noida,"6.42",Uttar Pradesh
70,Jamshedpur,"6.31",Jharkhand
71,Bhilai,"6.25",Chhattisgarh
72,Cuttack,"6.06",Odisha
73,Firozabad,"6.03",Uttar Pradesh
74,Kochi,"6.01",Kerala
75,Nellore,"6.00",Andhra Pradesh
76,Bhavnagar,"5.93",Gujarat
77,Dehradun,"5.78",Uttarakhand
78,Durgapur,"5.66",West Bengal
79,Asansol,"5.64",West Bengal
80,Rourkela,"5.52",Odisha
81,Nanded,"5.50",Maharashtra
82,Kolhapur,"5.49",Maharashtra
83,Ajmer,"5.42",Rajasthan
84,Akola,"5.37",Maharashtra
85,Gulbarga,"5.32",Karnataka
86,Jamnagar,"5.29",Gujarat
87,Ujjain,"5.15",Madhya Pradesh
88,Loni,"5.12",Uttar Pradesh
89,Siliguri,"5.09",West Bengal
90,Jhansi,"5.07",Uttar Pradesh
91,Ulhasnagar,"5.06",Maharashtra
92,Jammu,"5.03",Jammu and Kashmir
93,Sangli-Miraj & Kupwad,"5.02",Maharashtra
94,Mangalore,"4.99",Karnataka
95,Erode,"4.98",Tamil Nadu
96,Belgaum,"4.88",Karnataka
97,Ambattur,"4.78",Tamil Nadu
98,Tirunelveli,"4.73",Tamil Nadu
99,Malegaon,"4.71",Maharashtra
