University Name,GRE Score
Cabrini,337
Cabrini,324
Beaver,316
Beaver,322
Albany,314
Maryland,330
Beaver,321
Albany,308
Alaska Methodist University,302
Beaver,323
Beaver,325
Cabrini,327
Cabrini,328
Beaver,307
Beaver,311
Beaver,314
Beaver,317
Beaver,319
Beaver,318
Beaver,303
Beaver,312
Cabrini,325
Maryland,328
Maryland,334
Maryland,336
Maryland,340
Maryland,322
Albany,298
Alaska Methodist University,295
Albany,310
Albany,300
Beaver,327
Cabrini,338
Maryland,340
Maryland,331
Maryland,320
Albany,299
Alaska Methodist University,300
Alaska Methodist University,304
Albany,307
Beaver,308
Albany,316
Albany,313
Cabrini,332
Maryland,326
Maryland,322
Maryland,329
Maryland,339
Beaver,321
Cabrini,327
Beaver,313
Albany,312
Cabrini,334
Cabrini,324
Beaver,322
Beaver,320
Beaver,316
Albany,298
Alaska Methodist University,300
Albany,311
Albany,309
Beaver,307
Albany,304
Albany,315
Beaver,325
Cabrini,325
Beaver,327
Albany,316
Beaver,318
Cabrini,328
Maryland,332
Maryland,336
Maryland,321
Cabrini,314
Beaver,314
Albany,329
Beaver,327
Albany,301
Albany,296
Alaska Methodist University,294
Beaver,312
Cabrini,340
Maryland,320
Maryland,322
Maryland,340
Cabrini,319
Beaver,315
Albany,317
Beaver,314
Cabrini,316
Albany,318
Beaver,299
Albany,298
Albany,301
Beaver,303
Cabrini,304
Albany,306
Beaver,331
Cabrini,332
Beaver,323
Beaver,322
Albany,312
Albany,314
Albany,317
Beaver,326
Beaver,316
Cabrini,329
Cabrini,338
Maryland,331
Maryland,304
Maryland,305
Cabrini,321
Beaver,301
Albany,320
Beaver,311
Cabrini,310
Beaver,299
Cabrini,290
Albany,296
Maryland,327
Maryland,335
Maryland,334
Cabrini,310
Beaver,308
Cabrini,301
Beaver,300
Beaver,323
Beaver,319
Beaver,326
Maryland,333
Maryland,339
Maryland,303
Maryland,309
Maryland,323
Maryland,333
Cabrini,314
Beaver,312
Albany,316
Albany,326
Alaska Methodist University,318
Albany,329
Albany,332
Maryland,331
Cabrini,340
Albany,325
Albany,320
Beaver,315
Beaver,326
Cabrini,339
Albany,311
Cabrini,334
Maryland,332
Maryland,321
Beaver,324
Beaver,326
Beaver,312
Beaver,315
Albany,309
Albany,306
Alaska Methodist University,297
Alaska Methodist University,315
Alaska Methodist University,298
Beaver,318
Beaver,317
Cabrini,329
Maryland,322
Beaver,302
Beaver,313
Albany,293
Albany,311
Albany,312
Maryland,334
Cabrini,322
Cabrini,323
Cabrini,321
Cabrini,320
Cabrini,329
Beaver,319
Beaver,309
Beaver,307
Beaver,300
Albany,305
Albany,299
Beaver,314
Albany,316
Cabrini,327
Beaver,317
Maryland,335
Maryland,331
Maryland,324
Maryland,324
Maryland,323
Maryland,322
Maryland,336
Beaver,316
Albany,307
Albany,306
Albany,310
Beaver,311
Beaver,313
Beaver,317
Albany,315
Maryland,340
Maryland,334
Beaver,298
Albany,295
Albany,315
Beaver,310
Albany,305
Beaver,301
Cabrini,325
Cabrini,328
Cabrini,338
Maryland,333
Cabrini,331
Maryland,330
Cabrini,322
Cabrini,321
Cabrini,324
Beaver,312
Beaver,313
Beaver,316
Cabrini,324
Albany,308
Albany,305
Albany,296
Albany,306
Albany,312
Beaver,318
Cabrini,324
Beaver,313
Beaver,319
Albany,312
Albany,304
Maryland,330
Maryland,326
Cabrini,325
Maryland,329
Beaver,310
Alaska Methodist University,299
Alaska Methodist University,296
Albany,317
Beaver,324
Beaver,325
Albany,314
Cabrini,328
Beaver,316
Albany,311
Beaver,324
Beaver,321
