Year,inches
1880,0.952755905
1881,1.173228345
1882,0.464566929
1883,0.66535433
1884,1.464566928
1885,1.393700786
1886,1.255905511
1887,1.03543307
1888,1.118110235
1889,1.181102361
1890,1.255905511
1891,1.188976377
1892,1.314960629
1893,1.484251967
1894,1.153543306
1895,1.618110235
1896,1.303149605
1897,1.492125983
1898,1.818897636
1899,2.102362203
1900,1.846456691
1901,1.803149604
1902,1.972440943
1903,2.275590549
1904,1.86614173
1905,1.590551179
1906,1.83070866
1907,1.783464565
1908,1.669291337
1909,1.850393699
1910,1.846456691
1911,2.157480313
1912,2.035433069
1913,2.102362203
1914,2.338582675
1915,2.641732281
1916,2.543307084
1917,2.358267714
1918,2.29133858
1919,2.354330706
1920,2.417322832
1921,2.503937005
1922,2.472440942
1923,2.511811021
1924,2.228346454
1925,2.326771651
1926,2.586614171
1927,2.511811021
1928,2.334645667
1929,2.381889761
1930,2.535433068
1931,2.527559053
1932,2.740157478
1933,2.905511808
1934,2.696850391
1935,2.917322832
1936,2.759842517
1937,2.984251965
1938,3.08661417
1939,3.307086611
1940,3.055118107
1941,3.523622044
1942,3.523622044
1943,3.523622044
1944,3.267716532
1945,3.377952752
1946,3.669291335
1947,3.7519685
1948,3.929133854
1949,3.842519681
1950,3.909448815
1951,4.279527555
1952,4.173228342
1953,4.338582673
1954,4.216535429
1955,4.244094484
1956,4.039370075
1957,4.562992121
1958,4.606299208
1959,4.614173224
1960,4.763779523
1961,5.007874011
1962,4.803149601
1963,4.740157475
1964,4.433070862
1965,4.874015743
1966,4.65748031
1967,4.708661413
1968,4.748031491
1969,5.02755905
1970,4.9527559
1971,5.153543302
1972,5.511811018
1973,5.271653538
1974,5.740157474
1975,5.673228341
1976,5.63779527
1977,5.56299212
1978,5.818897632
1979,5.625984246
1980,5.854330703
1981,6.342519679
1982,6.106299206
1983,6.444881883
1984,6.401574797
1985,5.996062986
1986,6.019685033
1987,6.039370073
1988,6.22834645
1989,6.409448812
1990,6.492125978
1991,6.594488182
1992,6.622047237
1993,6.297493046
1994,6.310933553
1995,6.452568661
1996,6.62763131
1997,6.733920367
1998,6.865806069
1999,6.848689771
2000,6.920582014
2001,7.087460011
2002,7.319697525
2003,7.488352718
2004,7.507932839
2005,7.644563144
2006,7.697420009
2007,7.70214715
2008,7.90736541
2009,8.04635409
2010,8.122972567
2011,8.053065004
2012,8.457057629
2013,8.546648227
2014,8.663700393
