Univercity Name,GRE Score,SOP,LOR ,CGPA,Research,Chance of Admit 
Cabrini,337,4.5,4.5,9.65,1,0.92
Cabrini,324,4,4.5,8.87,1,0.76
Beaver,316,3,3.5,8,1,0.72
Beaver,322,3.5,2.5,8.67,1,0.8
Albany,314,2,3,8.21,0,0.65
Maryland,330,4.5,3,9.34,1,0.9
Beaver,321,3,4,8.2,1,0.75
Albany,308,3,4,7.9,0,0.68
Alaska Methodist University,302,2,1.5,8,0,0.5
Beaver,323,3.5,3,8.6,0,0.45
Beaver,325,3.5,4,8.4,1,0.52
Cabrini,327,4,4.5,9,1,0.84
Cabrini,328,4,4.5,9.1,1,0.78
Beaver,307,4,3,8,1,0.62
Beaver,311,3.5,2,8.2,1,0.61
Beaver,314,3.5,2.5,8.3,0,0.54
Beaver,317,4,3,8.7,0,0.66
Beaver,319,4,3,8,1,0.65
Beaver,318,4,3,8.8,0,0.63
Beaver,303,3.5,3,8.5,0,0.62
Beaver,312,3,2,7.9,1,0.64
Cabrini,325,3,2,8.4,0,0.7
Maryland,328,5,5,9.5,1,0.94
Maryland,334,5,4.5,9.7,1,0.95
Maryland,336,4,3.5,9.8,1,0.97
Maryland,340,4.5,4.5,9.6,1,0.94
Maryland,322,4.5,3.5,8.8,0,0.76
Albany,298,1.5,2.5,7.5,1,0.44
Alaska Methodist University,295,2,2,7.2,0,0.46
Albany,310,1.5,2,7.3,0,0.54
Albany,300,3,3,8.1,1,0.65
Beaver,327,4,4,8.3,1,0.74
Cabrini,338,3,4.5,9.4,1,0.91
Maryland,340,4,4,9.6,1,0.9
Maryland,331,4,5,9.8,1,0.94
Maryland,320,5,5,9.2,1,0.88
Albany,299,4,4,8.4,0,0.64
Alaska Methodist University,300,1,2,7.8,0,0.58
Alaska Methodist University,304,3,1.5,7.5,0,0.52
Albany,307,4,3.5,7.7,0,0.48
Beaver,308,3.5,3,8,1,0.46
Albany,316,2.5,2.5,8.2,1,0.49
Albany,313,2.5,2,8.5,1,0.53
Cabrini,332,4.5,4,9.1,0,0.87
Maryland,326,4.5,4,9.4,1,0.91
Maryland,322,5,4,9.1,1,0.88
Maryland,329,4,5,9.3,1,0.86
Maryland,339,4.5,4,9.7,0,0.89
Beaver,321,3.5,5,8.85,1,0.82
Cabrini,327,3,4,8.4,1,0.78
Beaver,313,2.5,4.5,8.3,1,0.76
Albany,312,1.5,3.5,7.9,1,0.56
Cabrini,334,4,3,8,1,0.78
Cabrini,324,4,2.5,8.1,1,0.72
Beaver,322,3,3.5,8,0,0.7
Beaver,320,3,3,7.7,0,0.64
Beaver,316,2,3,7.4,0,0.64
Albany,298,4,2,7.6,0,0.46
Alaska Methodist University,300,3,2,6.8,1,0.36
Albany,311,2,2,8.3,0,0.42
Albany,309,3,3,8.1,0,0.48
Beaver,307,4,3,8.2,0,0.47
Albany,304,3,3,8.2,1,0.54
Albany,315,4,3,8.5,1,0.56
Beaver,325,3,3.5,8.7,0,0.52
Cabrini,325,3.5,3.5,8.92,0,0.55
Beaver,327,3,3,9.02,0,0.61
Albany,316,3.5,3.5,8.64,1,0.57
Beaver,318,3.5,4,9.22,1,0.68
Cabrini,328,4.5,4,9.16,1,0.78
Maryland,332,5,5,9.64,1,0.94
Maryland,336,5,5,9.76,1,0.96
Maryland,321,5,5,9.45,1,0.93
Cabrini,314,4.5,4,9.04,1,0.84
Beaver,314,3,5,8.9,0,0.74
Albany,329,2,4,8.56,1,0.72
Beaver,327,3,3,8.72,1,0.74
Albany,301,3,2,8.22,0,0.64
