Department,WorkedHours,Certification,YearsExperience,Salary
Development,2300,0,1.1,39343
Testing,2100,1,1.3,46205
Development,2104,2,1.5,37731
UX,1200,1,2,43525
Testing,1254,2,2.2,39891
UX,1236,1,2.9,56642
Development,1452,2,3,60150
Testing,1789,1,3.2,54445
UX,1645,1,3.2,64445
UX,1258,0,3.7,57189
Testing,1478,3,3.9,63218
Development,1257,2,4,55794
Development,1596,1,4,56957
Testing,1256,2,4.1,57081
UX,1489,3,4.5,61111
Development,1236,3,4.9,67938
Testing,2311,2,5.1,66029
UX,2245,3,5.3,83088
Development,2365,1,5.9,81363
Development,1500,3,6,93940
Testing,1456,2,6.8,91738
Testing,1760,1,7.1,98273
UX,2400,4,7.9,101302
Development,2148,3,8.2,113812
UX,1450,2,8.7,109431
UX,1000,4,9,105582
Testing,1540,3,9.5,116969
Development,1500,2,9.6,112635
Testing,3000,4,10.3,122391
UX,2100,3,10.5,121872
